2025/11/03 08:57:15 [emerg] 1#1: unknown directive "errror_log" in /etc/nginx/conf.d/default.conf:7
2025/11/03 09:00:26 [notice] 1#1: using the "epoll" event method
2025/11/03 09:00:26 [notice] 1#1: nginx/1.28.0
2025/11/03 09:00:26 [notice] 1#1: built by gcc 14.2.0 (Alpine 14.2.0) 
2025/11/03 09:00:26 [notice] 1#1: OS: Linux 6.14.0-34-generic
2025/11/03 09:00:26 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1073741816:1073741816
2025/11/03 09:00:26 [notice] 1#1: start worker processes
2025/11/03 09:00:26 [notice] 1#1: start worker process 29
2025/11/03 09:00:26 [notice] 1#1: start worker process 30
2025/11/03 09:00:26 [notice] 1#1: start worker process 31
2025/11/03 09:00:26 [notice] 1#1: start worker process 32
2025/11/03 09:00:26 [notice] 1#1: start worker process 33
2025/11/03 09:00:26 [notice] 1#1: start worker process 34
2025/11/03 09:00:26 [notice] 1#1: start worker process 35
2025/11/03 09:00:26 [notice] 1#1: start worker process 36
2025/11/03 09:00:26 [notice] 1#1: start worker process 37
2025/11/03 09:00:26 [notice] 1#1: start worker process 38
2025/11/03 09:00:26 [notice] 1#1: start worker process 39
2025/11/03 09:00:26 [notice] 1#1: start worker process 40
